"tick","A treasure's value","Number of teams formed"
1.0,990.0,0.0
2.0,980.1,0.0
3.0,970.299,0.0
4.0,960.59601,0.0
5.0,950.9900499,0.0
6.0,941.4801494010001,0.0
7.0,932.06534790699,0.0
8.0,922.7446944279202,0.0
9.0,913.517247483641,0.0
10.0,904.3820750088046,0.0
11.0,895.3382542587166,0.0
12.0,886.3848717161294,0.0
13.0,877.5210229989681,0.0
14.0,868.7458127689785,0.0
15.0,860.0583546412887,0.0
16.0,851.4577710948759,0.0
17.0,842.9431933839271,0.0
18.0,834.5137614500878,0.0
19.0,826.1686238355869,0.0
20.0,817.906937597231,0.0
21.0,809.7278682212587,0.0
22.0,801.6305895390461,0.0
23.0,793.6142836436557,0.0
24.0,785.678140807219,0.0
25.0,777.8213593991469,0.0
26.0,770.0431458051554,0.0
27.0,762.3427143471039,0.0
28.0,754.7192872036328,0.0
29.0,747.1720943315964,0.0
30.0,739.7003733882805,0.0
31.0,732.3033696543977,0.0
32.0,724.9803359578536,0.0
33.0,717.7305325982751,0.0
34.0,710.5532272722924,0.0
35.0,703.4476949995694,0.0
36.0,696.4132180495737,0.0
37.0,689.449085869078,0.0
38.0,682.5545950103872,0.0
39.0,675.7290490602833,0.0
40.0,668.9717585696804,0.0
41.0,662.2820409839836,0.0
42.0,655.6592205741438,0.0
43.0,649.1026283684023,0.0
44.0,642.6116020847182,0.0
45.0,636.185486063871,0.0
46.0,629.8236312032324,0.0
47.0,623.5253948912,0.0
48.0,617.290140942288,5.0
49.0,611.117239532865,7.0
50.0,605.0060671375364,10.0
51.0,598.956006466161,11.0
52.0,592.9664464014994,11.0
53.0,587.0367819374844,11.0
54.0,581.1664141181096,11.0
55.0,575.3547499769286,12.0
56.0,569.6012024771593,12.0
57.0,563.9051904523877,12.0
58.0,558.2661385478639,12.0
59.0,552.6834771623852,12.0
60.0,547.1566423907614,12.0
61.0,541.6850759668538,12.0
62.0,536.2682252071852,12.0
63.0,530.9055429551133,12.0
64.0,525.5964875255622,12.0
65.0,520.3405226503066,12.0
66.0,515.1371174238036,12.0
67.0,509.9857462495656,12.0
68.0,504.8858887870699,12.0
69.0,499.8370298991992,12.0
70.0,494.8386596002072,12.0
71.0,489.89027300420514,12.0
72.0,484.9913702741631,12.0
73.0,480.1414565714215,12.0
74.0,475.3400420057073,12.0
75.0,470.5866415856502,12.0
76.0,465.8807751697937,12.0
77.0,461.22196741809574,12.0
78.0,456.6097477439148,12.0
79.0,452.04365026647565,12.0
80.0,447.5232137638109,12.0
81.0,443.04798162617277,12.0
82.0,438.61750180991106,12.0
83.0,434.23132679181197,12.0
84.0,429.8890135238938,12.0
85.0,425.5901233886549,12.0
86.0,421.3342221547683,12.0
87.0,417.12087993322064,12.0
88.0,412.94967113388844,12.0
89.0,408.82017442254954,12.0
90.0,404.73197267832404,12.0
91.0,400.6846529515408,12.0
92.0,396.67780642202536,12.0
93.0,392.7110283578051,12.0
94.0,388.7839180742271,12.0
95.0,384.8960788934848,12.0
96.0,381.04711810454995,12.0
97.0,377.23664692350445,12.0
98.0,373.4642804542694,12.0
99.0,369.72963764972667,12.0
100.0,366.0323412732294,12.0
101.0,362.3720178604971,12.0
102.0,358.74829768189215,12.0
103.0,355.1608147050732,12.0
104.0,351.6092065580225,12.0
105.0,348.0931144924423,12.0
106.0,344.6121833475179,12.0
107.0,341.1660615140427,13.0
108.0,337.7544008989023,13.0
109.0,334.37685688991326,13.0
110.0,331.03308832101413,13.0
111.0,327.722757437804,13.0
112.0,324.4455298634259,13.0
113.0,321.20107456479167,13.0
114.0,317.9890638191437,13.0
115.0,314.8091731809523,13.0
116.0,311.6610814491428,13.0
117.0,308.54447063465136,13.0
118.0,305.45902592830487,13.0
119.0,302.40443566902184,13.0
120.0,299.3803913123316,13.0
121.0,296.3865873992083,13.0
122.0,293.4227215252162,13.0
123.0,290.48849430996404,13.0
124.0,287.5836093668644,13.0
125.0,284.70777327319576,13.0
126.0,281.8606955404638,13.0
127.0,279.04208858505916,13.0
128.0,276.25166769920855,13.0
129.0,273.48915102221645,13.0
130.0,270.7542595119943,13.0
131.0,268.04671691687435,13.0
132.0,265.3662497477056,13.0
133.0,262.7125872502285,13.0
134.0,260.08546137772623,13.0
135.0,257.484606763949,13.0
136.0,254.9097606963095,13.0
137.0,252.3606630893464,13.0
138.0,249.83705645845293,13.0
139.0,247.33868589386842,13.0
140.0,244.86529903492973,13.0
141.0,242.41664604458043,13.0
142.0,239.99247958413463,13.0
143.0,237.59255478829328,13.0
144.0,235.21662924041036,13.0
145.0,232.86446294800626,13.0
146.0,230.5358183185262,13.0
147.0,228.23046013534093,13.0
148.0,225.94815553398752,13.0
149.0,223.68867397864764,13.0
150.0,221.45178723886116,13.0
151.0,219.23726936647256,13.0
152.0,217.04489667280782,13.0
153.0,214.87444770607974,13.0
154.0,212.72570322901893,13.0
155.0,210.59844619672873,13.0
156.0,208.49246173476143,13.0
157.0,206.40753711741382,13.0
